Almost Certain,Highly Likely,Very Good Chance,Probable,Likely,We Believe,Probably,Better than Even,About Even,We Doubt,Improbable,Unlikely,Probably Not,Little Chance,Almost No Chance,Highly Unlikely,Chances are Slight
90,90,80,70,70,70,70,60,50,20,20,20,20,20,10,10,10
10,90,90,65,75,85,70,60,50,5,5,15,10,20,5,5,5
90,90,75,70,70,60,70,60,50,30,5,10,30,20,2,10,30
95,90,85,70,85,90,75,60,50,10,2,20,5,15,1,5,12
95,90,85,50,65,75,50,65,50,65,0,30,25,5,5,10,20
99,90,70,80,70,80,60,51,50,20,5,25,25,5,1,5,10
99,90,95,75,67,50,80,75,50,50,10,25,40,10,5,10,33
90,80,65,50,60,75,55,51,50,20,20,20,25,10,3,5,35
95,85,80,75,70,70,70,60,50,10,10,20,30,10,2,5,60
80,90,90,30,70,80,30,60,50,10,20,20,40,10,5,10,10
90,80,80,60,70,90,70,60,50,30,10,10,10,20,10,10,20
99,90,80,75,80,80,75,70,50,0,25,10,15,10,10,0,30
70,80,60,40,45,50,40,51,50,25,0,10,30,20,5,8,10
95,97,85,70,80,90,55,60,50,1,5,25,1,2,2,1,15
99,90,90,50,70,70,70,60,50,1,0,10,10,10,1,1,10
99,80,80,30,30,60,60,70,50,5,3,10,10,10,0,10,10
99,90,80,70,70,0.1,70,51,50,20,30,10,40,20,0.1,10,60
90,90,80,80,60,60,80,60,50,10,15,10,20,10,5,10,20
90,70,75,65,60,80,65,55,50,20,5,15,10,30,5,10,40
100,95,98,99,75,86,97,67,55,12,5,2,95,4,2,1,15
89,72,67,69,62,72,67,58,50,23,35,25,29,37,5,6,21
85,93,80,50,70,93,15,80,80,50,15,30,9,20,5,10,40
90,90,80,50,60,80,70,70,50,20,20,10,40,10,0,10,30
95,85,60,50,70,80,70,60,50,10,10,0,5,15,0,30,20
90,80,70,40,70,90,70,60,30,0,0,40,10,30,0,20,40
85,90,85,70,80,75,60,65,55,15,25,25,10,10,7,15,30
85,80,50,65,50,90,30,55,50,1,1,1,1,5,1,0.5,5
90,90,70,70,75,75,60,55,50,35,30,25,20,20,10,10,15
95,90,90,80,80,95,50,60,50,60,10,20,30,20,10,5,20
65,85,80,70,70,75,75,60,50,10,5,5,25,15,2,5,35
80,80,80,60,50,80,60,60,50,10,10,10,20,10,10,10,20
90,3,75,80,70,60,80,60,50,25,20,5,5,10,2,3,10
95,95,80,75,80,70,60,75,50,20,30,10,25,20,9,0,15
95,95,90,51,70,90,80,60,50,5,5,20,20,10,2,5,15
95,90,80,65,60,80,60,60,50,20,0,10,30,10,1,5,25
90,80,75,50,45,45,50,60,50,30,15,20,40,10,5,20,25
80,90,70,75,80,65,70,40,50,60,20,45,40,30,10,15,45
90,80,85,65,65,75,75,55,50,15,10,15,5,10,2,5,20
90,80,80,70,80,80,70,60,50,20,40,30,30,30,5,10,30
90,85,65,65,75,85,65,60,50,15,25,10,35,25,5,5,20
99,90,67,67,67,67,67,51,50,37,35,45,40,20,5,30,40
95,90,80,70,70,80,50,60,50,20,0,10,30,10,0,80,10
90,90,80,60,60,60,70,60,50,10,40,20,30,10,10,20,30
95,90,85,60,80,80,60,75,50,60,5,30,40,10,5,15,20
70,90,80,60,80,70,60,60,50,20,0,15,10,5,5,5,5
80,70,65,50,70,50,50,65,40,20,10,25,5,5,2,35,36
80,95,80,50,60,70,90,60,50,10,0,10,5,20,5,5,10
95,80,65,35,90,75,70,30,40,20,5,25,15,10,5,5,20
90,95,85,75,75,95,80,70,50,7.5,0,10,15,15,2.5,10,25
80,80,85,50,60,50,60,90,50,15,10,40,30,5,10,10,10
95,95,90,70,80,90,80,10,50,5,5,0,10,5,0,0,10
95,80,90,70,60,70,75,60,50,40,0,20,30,10,1,1,5
90,80,65,60,60,60,55,60,50,30,10,30,30,20,20,10,30
85,75,70,70,51,25,65,60,50,10,15,30,20,10,5,10,15
90,80,90,50,70,80,70,60,50,10,0,30,15,15,5,5,20
80,70,60,90,50,70,50,90,10,0,50,0,5,10,5,0,5
100,60,90,75,65,95,50,90,40,3,2,15,20,5,0,10,45
85,75,75,50,50,100,50,50,40,0,5,10,5,15,5,5,25
70,80,70,70,88,40,80,60,50,0,15,9,3,1,5,0,25
90,90,70,60,40,80,60,70,50,5,5,10,5,15,5,5,20
95,90,75,40,85,70,80,60,50,15,5,25,15,45,10,10,30
90,80,85,50,65,80,65,51,50,15,20,20,30,25,0.1,10,5
95,85,75,50,65,75,45,60,50,24,10,45,23,25,5,10,15
90,80,70,55,60,60,35,60,50,60,10,30,10,10,5,70,20
95,95,90,50,60,80,65,60,50,5,10,10,5,20,10,5,15
90,70,80,60,60,80,60,60,50,50,100,30,20,10,5,10,10
95,90,75,75,75,80,75,75,50,15,10,10,10,15,2,5,10
95,90,85,65,60,75,70,55,50,5,1,20,10,15,5,3,20
90,95,80,60,70,80,70,80,50,15,10,10,15,15,0,0,20
90,70,70,60,70,90,60,70,60,30,30,30,30,30,20,10,30
95,90,55,80,50,85,60,80,50,5,2,10,10,45,1,15,5
95,90,80,60,60,75,70,60,50,20,20,30,30,10,5,15,15
100,90,90,80,80,50,80,60,50,5,30,10,70,30,5,40,30
75,10,90,50,75,50,50,75,50,25,0,25,25,5,5,5,30
90,70,70,20,95,50,65,35,50,30,0,10,10,8,2,5,10
